Unnamed: 0,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,NumUnderscore,NumQueryComponents,NumAmpersand,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HostnameLength,PathLength,QueryLength,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
5315.0,2,1,5,113,7,0,0,1,0,6,1,1,0,0,1,14,75,16,0,0,0.204633205,0.424242424,0,1,1,1,0,0.0,0,0,0,0,1,0,0,1,1,-1,1.0,0,0,1,0
5336.0,2,1,6,123,9,0,0,1,0,8,1,1,0,0,1,21,76,18,0,0,0.707692308,0.411764706,0,1,1,1,0,0.0,0,0,0,0,1,0,0,1,1,-1,0.0,0,0,-1,0
5506.0,1,0,5,102,11,0,0,0,0,10,1,1,0,0,1,15,80,0,0,0,0.171428571,1.0,1,1,1,1,0,0.014285714,0,0,0,0,1,0,0,1,1,-1,-1.0,0,-1,1,0
7362.0,2,1,8,127,7,1,0,0,0,20,1,1,0,0,0,28,92,0,0,0,0.134615385,0.463768116,0,1,1,1,0,0.086538462,0,0,0,0,1,1,0,1,1,-1,1.0,0,0,1,0
5292.0,3,0,4,150,16,0,0,1,0,15,1,1,0,0,0,23,31,88,0,0,0.612903226,0.529411765,0,0,0,1,0,0.0,0,0,0,0,1,1,0,1,1,-1,0.0,0,0,0,0
7320.0,4,1,14,132,0,0,0,0,0,0,1,0,0,0,0,21,104,0,0,0,0.15,0.038461539,0,1,0,1,0,0.0,0,0,0,0,1,0,0,1,1,-1,1.0,0,1,1,0
8029.0,1,0,3,64,1,0,0,0,0,0,1,0,0,0,1,29,28,0,0,0,0.134328358,0.076923077,0,1,0,1,0,0.059701493,0,0,0,0,1,0,0,1,1,0,1.0,0,1,1,0
8922.0,1,0,4,57,3,0,0,0,0,12,1,1,0,0,1,12,38,0,0,0,0.028985507,0.107142857,0,0,0,1,0,0.014492754,0,0,0,0,1,0,0,1,1,0,0.0,0,1,1,0
9036.0,1,0,3,34,0,0,0,0,0,6,1,1,0,0,0,18,9,0,0,0,0.071428571,0.270833333,1,1,0,1,0,0.003968254,0,0,0,0,1,1,0,1,1,1,1.0,0,0,1,0
9379.0,2,1,0,27,0,0,0,0,0,0,1,0,0,0,0,19,1,0,0,0,0.066666667,0.333333333,0,0,0,1,0,0.133333333,0,0,0,0,1,0,0,1,1,1,0.0,0,1,1,0
5273.0,1,0,5,106,8,0,0,0,0,3,1,1,0,0,1,15,84,0,0,0,0.255319149,0.25,0,1,1,0,0,0.0,0,0,0,0,1,0,0,1,1,-1,1.0,1,0,1,0
5345.0,2,1,6,112,8,0,0,0,0,8,1,1,0,0,0,18,87,0,0,0,0.018518519,0.444444444,0,1,1,0,0,0.0,0,0,0,0,1,0,0,1,1,-1,1.0,1,0,1,0
5347.0,2,1,6,93,5,0,0,1,0,9,1,1,0,0,1,15,52,18,0,0,0.153846154,0.295454546,0,1,1,0,0,0.0,0,0,0,0,1,0,0,1,1,-1,1.0,1,0,1,0
5352.0,2,1,4,106,8,0,0,0,0,4,1,1,0,0,1,19,80,0,0,0,0.095238095,0.482758621,0,1,1,0,0,0.0,0,0,0,0,1,0,0,1,1,-1,0.0,1,0,1,0
6255.0,2,1,4,66,0,0,1,1,0,1,1,0,0,0,1,22,30,6,0,0,0.015686275,0.342105263,1,1,1,0,1,0.0,0,0,0,0,1,1,0,1,1,0,1.0,-1,0,1,0
