Parameters,Accuracy,Precision,Recall,F1 Score
"criterion=gini, splitter=best, max_depth=None",0.9610642439974043,0.879746835443038,0.9266666666666666,0.9025974025974026
"criterion=gini, splitter=best, max_depth=10",0.9033095392602206,0.675990675990676,0.9666666666666667,0.7956104252400549
"criterion=gini, splitter=best, max_depth=20",0.9480856586632057,0.8107344632768362,0.9566666666666667,0.8776758409785933
"criterion=gini, splitter=best, max_depth=30",0.9623621025308241,0.8622754491017964,0.96,0.9085173501577287
"criterion=gini, splitter=best, max_depth=40",0.9617131732641142,0.8640483383685801,0.9533333333333334,0.9064976228209192
"criterion=gini, splitter=random, max_depth=None",0.963659961064244,0.9066666666666666,0.9066666666666666,0.9066666666666666
"criterion=gini, splitter=random, max_depth=10",0.8844905905256327,0.9485294117647058,0.43,0.591743119266055
"criterion=gini, splitter=random, max_depth=20",0.9428942245295263,0.7928176795580111,0.9566666666666667,0.8670694864048338
"criterion=gini, splitter=random, max_depth=30",0.9480856586632057,0.8313253012048193,0.92,0.8734177215189873
"criterion=gini, splitter=random, max_depth=40",0.9578195976638546,0.8706624605678234,0.92,0.8946515397082658
"criterion=entropy, splitter=best, max_depth=None",0.9695003244646333,0.9067524115755627,0.94,0.9230769230769231
"criterion=entropy, splitter=best, max_depth=10",0.9208306294613887,0.7236180904522613,0.96,0.8252148997134671
"criterion=entropy, splitter=best, max_depth=20",0.9578195976638546,0.8507462686567164,0.95,0.8976377952755905
"criterion=entropy, splitter=best, max_depth=30",0.9669046073977936,0.9003215434083601,0.9333333333333333,0.9165302782324058
"criterion=entropy, splitter=best, max_depth=40",0.9669046073977936,0.9029126213592233,0.93,0.916256157635468
"criterion=entropy, splitter=random, max_depth=None",0.9591174561972745,0.883495145631068,0.91,0.896551724137931
"criterion=entropy, splitter=random, max_depth=10",0.8591823491239455,0.5831663326653307,0.97,0.7284105131414268
"criterion=entropy, splitter=random, max_depth=20",0.9422452952628163,0.7971830985915493,0.9433333333333334,0.8641221374045801
"criterion=entropy, splitter=random, max_depth=30",0.9597663854639844,0.858433734939759,0.95,0.9018987341772152
"criterion=entropy, splitter=random, max_depth=40",0.9584685269305646,0.8619631901840491,0.9366666666666666,0.8977635782747604
