Parameters,Accuracy,Precision,Recall,F1 Score
"criterion=gini, splitter=best, max_depth=None",0.971627675460428,0.9702675916749257,0.9731610337972167,0.971712158808933
"criterion=gini, splitter=best, max_depth=10",0.9726231956197113,0.9684729064039409,0.9771371769383698,0.9727857496288966
"criterion=gini, splitter=best, max_depth=20",0.971627675460428,0.9702675916749257,0.9731610337972167,0.971712158808933
"criterion=gini, splitter=best, max_depth=30",0.971627675460428,0.9702675916749257,0.9731610337972167,0.971712158808933
"criterion=gini, splitter=best, max_depth=40",0.971627675460428,0.9702675916749257,0.9731610337972167,0.971712158808933
"criterion=gini, splitter=best, max_depth=50",0.971627675460428,0.9702675916749257,0.9731610337972167,0.971712158808933
"criterion=gini, splitter=random, max_depth=None",0.9711299153807864,0.9730538922155688,0.9691848906560636,0.9711155378486056
"criterion=gini, splitter=random, max_depth=10",0.9656545545047287,0.960668633235005,0.9711729622266402,0.9658922392486406
"criterion=gini, splitter=random, max_depth=20",0.9656545545047287,0.9597644749754661,0.9721669980119284,0.965925925925926
"criterion=gini, splitter=random, max_depth=30",0.9711299153807864,0.9730538922155688,0.9691848906560636,0.9711155378486056
"criterion=gini, splitter=random, max_depth=40",0.9711299153807864,0.9730538922155688,0.9691848906560636,0.9711155378486056
"criterion=gini, splitter=random, max_depth=50",0.9711299153807864,0.9730538922155688,0.9691848906560636,0.9711155378486056
"criterion=entropy, splitter=best, max_depth=None",0.96913887506222,0.9636542239685658,0.9751491053677932,0.9693675889328063
"criterion=entropy, splitter=best, max_depth=10",0.9656545545047287,0.9588638589618022,0.9731610337972167,0.9659595461272817
"criterion=entropy, splitter=best, max_depth=20",0.96913887506222,0.9636542239685658,0.9751491053677932,0.9693675889328063
"criterion=entropy, splitter=best, max_depth=30",0.96913887506222,0.9636542239685658,0.9751491053677932,0.9693675889328063
"criterion=entropy, splitter=best, max_depth=40",0.96913887506222,0.9636542239685658,0.9751491053677932,0.9693675889328063
"criterion=entropy, splitter=best, max_depth=50",0.96913887506222,0.9636542239685658,0.9751491053677932,0.9693675889328063
"criterion=entropy, splitter=random, max_depth=None",0.9696366351418616,0.9627815866797258,0.9771371769383698,0.9699062654168722
"criterion=entropy, splitter=random, max_depth=10",0.960179193628671,0.9460500963391136,0.9761431411530815,0.9608610567514677
"criterion=entropy, splitter=random, max_depth=20",0.9641612742658039,0.9542801556420234,0.9751491053677932,0.9646017699115044
"criterion=entropy, splitter=random, max_depth=30",0.9696366351418616,0.9627815866797258,0.9771371769383698,0.9699062654168722
"criterion=entropy, splitter=random, max_depth=40",0.9696366351418616,0.9627815866797258,0.9771371769383698,0.9699062654168722
"criterion=entropy, splitter=random, max_depth=50",0.9696366351418616,0.9627815866797258,0.9771371769383698,0.9699062654168722
