Parameters,Accuracy,Precision,Recall,F1 Score
"criterion=gini, max_depth=None, min_samples_split=2, n_estimators=50",0.9857235561323816,0.9572368421052632,0.97,0.9635761589403974
"criterion=gini, max_depth=None, min_samples_split=2, n_estimators=100",0.9863724853990915,0.9543973941368078,0.9766666666666667,0.9654036243822076
"criterion=gini, max_depth=None, min_samples_split=2, n_estimators=200",0.9863724853990915,0.9514563106796117,0.98,0.9655172413793104
"criterion=gini, max_depth=None, min_samples_split=5, n_estimators=50",0.9863724853990915,0.9514563106796117,0.98,0.9655172413793104
"criterion=gini, max_depth=None, min_samples_split=5, n_estimators=100",0.9844256975989617,0.948051948051948,0.9733333333333334,0.9605263157894737
"criterion=gini, max_depth=None, min_samples_split=5, n_estimators=200",0.9850746268656716,0.9453376205787781,0.98,0.9623567921440261
"criterion=gini, max_depth=None, min_samples_split=10, n_estimators=50",0.9850746268656716,0.9511400651465798,0.9733333333333334,0.9621087314662273
"criterion=gini, max_depth=None, min_samples_split=10, n_estimators=100",0.9837767683322518,0.9478827361563518,0.97,0.9588138385502472
"criterion=gini, max_depth=None, min_samples_split=10, n_estimators=200",0.9857235561323816,0.9483870967741935,0.98,0.9639344262295082
"criterion=gini, max_depth=10, min_samples_split=2, n_estimators=50",0.8760545100584036,0.9823008849557522,0.37,0.5375302663438256
"criterion=gini, max_depth=10, min_samples_split=2, n_estimators=100",0.8792991563919533,0.9913793103448276,0.38333333333333336,0.5528846153846154
"criterion=gini, max_depth=10, min_samples_split=2, n_estimators=200",0.8799480856586632,0.9914529914529915,0.38666666666666666,0.5563549160671463
"criterion=gini, max_depth=10, min_samples_split=5, n_estimators=50",0.8760545100584036,0.990990990990991,0.36666666666666664,0.5352798053527981
"criterion=gini, max_depth=10, min_samples_split=5, n_estimators=100",0.8805970149253731,0.9915254237288136,0.39,0.5598086124401914
"criterion=gini, max_depth=10, min_samples_split=5, n_estimators=200",0.8825438027255029,0.9917355371900827,0.4,0.5700712589073634
