Parameters,Accuracy,Precision,Recall,F1 Score
"n_estimators=100, criterion=gini, max_depth=None, max_features=sqrt",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=100, criterion=gini, max_depth=None, max_features=log2",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=100, criterion=gini, max_depth=None, max_features=None",0.9785963165754107,0.9781529294935452,0.9791252485089463,0.9786388474913065
"n_estimators=100, criterion=gini, max_depth=10, max_features=sqrt",0.9790940766550522,0.9810379241516967,0.9771371769383698,0.9790836653386454
"n_estimators=100, criterion=gini, max_depth=10, max_features=log2",0.9771030363364858,0.9780876494023905,0.9761431411530815,0.9771144278606965
"n_estimators=100, criterion=gini, max_depth=10, max_features=None",0.9766052762568442,0.9752229930624381,0.9781312127236581,0.9766749379652605
"n_estimators=100, criterion=gini, max_depth=20, max_features=sqrt",0.98456943753111,0.9821958456973294,0.9870775347912525,0.9846306395637084
"n_estimators=100, criterion=gini, max_depth=20, max_features=log2",0.9840716774514684,0.9840954274353877,0.9840954274353877,0.9840954274353877
"n_estimators=100, criterion=gini, max_depth=20, max_features=None",0.978098556495769,0.9771825396825397,0.9791252485089463,0.9781529294935452
"n_estimators=100, criterion=gini, max_depth=30, max_features=sqrt",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=100, criterion=gini, max_depth=30, max_features=log2",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=100, criterion=gini, max_depth=30, max_features=None",0.9785963165754107,0.9781529294935452,0.9791252485089463,0.9786388474913065
"n_estimators=100, criterion=entropy, max_depth=None, max_features=sqrt",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=100, criterion=entropy, max_depth=None, max_features=log2",0.9815828770532603,0.9782823297137216,0.9850894632206759,0.9816740960871718
"n_estimators=100, criterion=entropy, max_depth=None, max_features=None",0.982080637132902,0.9792490118577075,0.9850894632206759,0.9821605550049554
"n_estimators=100, criterion=entropy, max_depth=10, max_features=sqrt",0.9771030363364858,0.9752475247524752,0.9791252485089463,0.9771825396825397
"n_estimators=100, criterion=entropy, max_depth=10, max_features=log2",0.975609756097561,0.9761194029850746,0.9751491053677932,0.9756340129288911
"n_estimators=100, criterion=entropy, max_depth=10, max_features=None",0.9800895968143355,0.9791666666666666,0.9811133200795229,0.9801390268123138
"n_estimators=100, criterion=entropy, max_depth=20, max_features=sqrt",0.9830761572921851,0.9792899408284024,0.9870775347912525,0.9831683168316832
"n_estimators=100, criterion=entropy, max_depth=20, max_features=log2",0.982080637132902,0.9811507936507936,0.9831013916500994,0.9821251241310824
"n_estimators=100, criterion=entropy, max_depth=20, max_features=None",0.982080637132902,0.9792490118577075,0.9850894632206759,0.9821605550049554
"n_estimators=100, criterion=entropy, max_depth=30, max_features=sqrt",0.9830761572921851,0.9811881188118812,0.9850894632206759,0.9831349206349206
"n_estimators=100, criterion=entropy, max_depth=30, max_features=log2",0.9815828770532603,0.9782823297137216,0.9850894632206759,0.9816740960871718
"n_estimators=100, criterion=entropy, max_depth=30, max_features=None",0.982080637132902,0.9792490118577075,0.9850894632206759,0.9821605550049554
"n_estimators=300, criterion=gini, max_depth=None, max_features=sqrt",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=gini, max_depth=None, max_features=log2",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=gini, max_depth=None, max_features=None",0.9795918367346939,0.9791459781529295,0.9801192842942346,0.979632389468455
"n_estimators=300, criterion=gini, max_depth=10, max_features=sqrt",0.978098556495769,0.9771825396825397,0.9791252485089463,0.9781529294935452
"n_estimators=300, criterion=gini, max_depth=10, max_features=log2",0.9771030363364858,0.9771371769383698,0.9771371769383698,0.9771371769383698
"n_estimators=300, criterion=gini, max_depth=10, max_features=None",0.9761075161772026,0.9751984126984127,0.9771371769383698,0.9761668321747765
"n_estimators=300, criterion=gini, max_depth=20, max_features=sqrt",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=300, criterion=gini, max_depth=20, max_features=log2",0.9835739173718268,0.9831181727904668,0.9840954274353877,0.9836065573770492
"n_estimators=300, criterion=gini, max_depth=20, max_features=None",0.9795918367346939,0.9791459781529295,0.9801192842942346,0.979632389468455
"n_estimators=300, criterion=gini, max_depth=30, max_features=sqrt",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=gini, max_depth=30, max_features=log2",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=gini, max_depth=30, max_features=None",0.9795918367346939,0.9791459781529295,0.9801192842942346,0.979632389468455
"n_estimators=300, criterion=entropy, max_depth=None, max_features=sqrt",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=entropy, max_depth=None, max_features=log2",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=300, criterion=entropy, max_depth=None, max_features=None",0.9825783972125436,0.9783251231527094,0.9870775347912525,0.9826818406729342
"n_estimators=300, criterion=entropy, max_depth=10, max_features=sqrt",0.975609756097561,0.9742319127849356,0.9771371769383698,0.975682382133995
"n_estimators=300, criterion=entropy, max_depth=10, max_features=log2",0.9766052762568442,0.9761668321747765,0.9771371769383698,0.9766517635370094
"n_estimators=300, criterion=entropy, max_depth=10, max_features=None",0.9805873568939771,0.979187314172448,0.9821073558648111,0.9806451612903225
"n_estimators=300, criterion=entropy, max_depth=20, max_features=sqrt",0.9830761572921851,0.9802371541501976,0.9860834990059643,0.9831516352824579
"n_estimators=300, criterion=entropy, max_depth=20, max_features=log2",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=entropy, max_depth=20, max_features=None",0.9825783972125436,0.9783251231527094,0.9870775347912525,0.9826818406729342
"n_estimators=300, criterion=entropy, max_depth=30, max_features=sqrt",0.9835739173718268,0.9821605550049554,0.9850894632206759,0.9836228287841191
"n_estimators=300, criterion=entropy, max_depth=30, max_features=log2",0.9830761572921851,0.9811881188118812,0.9850894632206759,0.9831349206349206
"n_estimators=300, criterion=entropy, max_depth=30, max_features=None",0.9825783972125436,0.9783251231527094,0.9870775347912525,0.9826818406729342
"n_estimators=500, criterion=gini, max_depth=None, max_features=sqrt",0.9840716774514684,0.9831349206349206,0.9850894632206759,0.9841112214498511
"n_estimators=500, criterion=gini, max_depth=None, max_features=log2",0.9835739173718268,0.9831181727904668,0.9840954274353877,0.9836065573770492
"n_estimators=500, criterion=gini, max_depth=None, max_features=None",0.9790940766550522,0.9781746031746031,0.9801192842942346,0.9791459781529295
"n_estimators=500, criterion=gini, max_depth=10, max_features=sqrt",0.978098556495769,0.9781312127236581,0.9781312127236581,0.9781312127236581
"n_estimators=500, criterion=gini, max_depth=10, max_features=log2",0.9771030363364858,0.9771371769383698,0.9771371769383698,0.9771371769383698
"n_estimators=500, criterion=gini, max_depth=10, max_features=None",0.9766052762568442,0.9752229930624381,0.9781312127236581,0.9766749379652605
"n_estimators=500, criterion=gini, max_depth=20, max_features=sqrt",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=500, criterion=gini, max_depth=20, max_features=log2",0.9835739173718268,0.9831181727904668,0.9840954274353877,0.9836065573770492
"n_estimators=500, criterion=gini, max_depth=20, max_features=None",0.9790940766550522,0.9781746031746031,0.9801192842942346,0.9791459781529295
"n_estimators=500, criterion=gini, max_depth=30, max_features=sqrt",0.9840716774514684,0.9831349206349206,0.9850894632206759,0.9841112214498511
"n_estimators=500, criterion=gini, max_depth=30, max_features=log2",0.9835739173718268,0.9831181727904668,0.9840954274353877,0.9836065573770492
"n_estimators=500, criterion=gini, max_depth=30, max_features=None",0.9790940766550522,0.9781746031746031,0.9801192842942346,0.9791459781529295
"n_estimators=500, criterion=entropy, max_depth=None, max_features=sqrt",0.9840716774514684,0.9821782178217822,0.9860834990059643,0.9841269841269841
"n_estimators=500, criterion=entropy, max_depth=None, max_features=log2",0.9840716774514684,0.9821782178217822,0.9860834990059643,0.9841269841269841
"n_estimators=500, criterion=entropy, max_depth=None, max_features=None",0.9825783972125436,0.9783251231527094,0.9870775347912525,0.9826818406729342
"n_estimators=500, criterion=entropy, max_depth=10, max_features=sqrt",0.9766052762568442,0.9752229930624381,0.9781312127236581,0.9766749379652605
"n_estimators=500, criterion=entropy, max_depth=10, max_features=log2",0.9776007964161274,0.9771598808341608,0.9781312127236581,0.977645305514158
"n_estimators=500, criterion=entropy, max_depth=10, max_features=None",0.9805873568939771,0.979187314172448,0.9821073558648111,0.9806451612903225
"n_estimators=500, criterion=entropy, max_depth=20, max_features=sqrt",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=500, criterion=entropy, max_depth=20, max_features=log2",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=500, criterion=entropy, max_depth=20, max_features=None",0.9825783972125436,0.9783251231527094,0.9870775347912525,0.9826818406729342
"n_estimators=500, criterion=entropy, max_depth=30, max_features=sqrt",0.9840716774514684,0.9821782178217822,0.9860834990059643,0.9841269841269841
"n_estimators=500, criterion=entropy, max_depth=30, max_features=log2",0.9835739173718268,0.9812067260138477,0.9860834990059643,0.9836390679226574
"n_estimators=500, criterion=entropy, max_depth=30, max_features=None",0.9825783972125436,0.9783251231527094,0.9870775347912525,0.9826818406729342
